@W: CD638 :"C:\Users\Michal\Documents\GitHub\CONTROL_FPGA\MAIN.vhd":192:11:192:21|Signal clk_100mhz1 is undriven. Either assign the signal a value or remove the signal declaration.
@W: CD638 :"C:\Users\Michal\Documents\GitHub\CONTROL_FPGA\MAIN.vhd":204:11:204:24|Signal pwm_duty_input is undriven. Either assign the signal a value or remove the signal declaration.
@W: CD638 :"C:\Users\Michal\Documents\GitHub\CONTROL_FPGA\MAIN.vhd":224:12:224:21|Signal pll_locked is undriven. Either assign the signal a value or remove the signal declaration.
@W: CD638 :"C:\Users\Michal\Documents\GitHub\CONTROL_FPGA\MAIN.vhd":225:12:225:20|Signal clk_10khz is undriven. Either assign the signal a value or remove the signal declaration.
@W: CD638 :"C:\Users\Michal\Documents\GitHub\CONTROL_FPGA\MAIN.vhd":227:12:227:18|Signal counter is undriven. Either assign the signal a value or remove the signal declaration.
@W: CL169 :"C:\Users\Michal\Documents\GitHub\CONTROL_FPGA\phase_controller.vhd":69:8:69:9|Pruning unused register start_flag_2. Make sure that there are no unused intermediate registers.
@W: CL169 :"C:\Users\Michal\Documents\GitHub\CONTROL_FPGA\timer.vhd":30:8:30:9|Pruning unused register elapsed_ticks_3(31 downto 0). Make sure that there are no unused intermediate registers.
@W: CL271 :"C:\Users\Michal\Documents\GitHub\CONTROL_FPGA\timer.vhd":30:8:30:9|Pruning unused bits 31 to 30 of counter_4(31 downto 0). If this is not the intended behavior, drive the inputs with valid values, or inputs from the top level.
@W: CL240 :"C:\Users\Michal\Documents\GitHub\CONTROL_FPGA\MAIN.vhd":49:8:49:17|Signal pwm_output is floating; a simulation mismatch is possible.
@W: CL190 :"C:\Users\Michal\Documents\GitHub\CONTROL_FPGA\timer.vhd":30:8:30:9|Optimizing register bit elapsed_time_ns(0) to a constant 0. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: CL260 :"C:\Users\Michal\Documents\GitHub\CONTROL_FPGA\timer.vhd":30:8:30:9|Pruning register bit 0 of elapsed_time_ns(31 downto 0). If this is not the intended behavior, drive the input with valid values, or an input from the top level.
@W: CL279 :"C:\Users\Michal\Documents\GitHub\CONTROL_FPGA\delay_measurement.vhd":165:8:165:9|Pruning register bits 31 to 20 of delay_hc_reg(31 downto 0). If this is not the intended behavior, drive the inputs with valid values, or inputs from the top level.
@W: CL279 :"C:\Users\Michal\Documents\GitHub\CONTROL_FPGA\delay_measurement.vhd":115:8:115:9|Pruning register bits 31 to 20 of delay_tr_reg(31 downto 0). If this is not the intended behavior, drive the inputs with valid values, or inputs from the top level.
@W: CL190 :"C:\Users\Michal\Documents\GitHub\CONTROL_FPGA\stoper.vhd":39:8:39:9|Optimizing register bit accumulated_time(0) to a constant 0. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: CL260 :"C:\Users\Michal\Documents\GitHub\CONTROL_FPGA\stoper.vhd":39:8:39:9|Pruning register bit 0 of accumulated_time(19 downto 0). If this is not the intended behavior, drive the input with valid values, or an input from the top level.
@W: CL249 :"C:\Users\Michal\Documents\GitHub\CONTROL_FPGA\stoper.vhd":39:8:39:9|Initial value is not supported on state machine stoper_state
@W: CG781 :"C:\Users\Michal\Documents\GitHub\CONTROL_FPGA\ICE40_MAIN_PROGRAM_100MHZ_pll.v":14:61:14:61|Input EXTFEEDBACK on instance ICE40_MAIN_PROGRAM_100MHZ_pll_inst is undriven; assigning to 0.  Simulation mismatch possible. Either assign the input or remove the declaration. 
@W: CG781 :"C:\Users\Michal\Documents\GitHub\CONTROL_FPGA\ICE40_MAIN_PROGRAM_100MHZ_pll.v":15:62:15:62|Input DYNAMICDELAY on instance ICE40_MAIN_PROGRAM_100MHZ_pll_inst is undriven; assigning to 0.  Simulation mismatch possible. Either assign the input or remove the declaration. 
@W: CG781 :"C:\Users\Michal\Documents\GitHub\CONTROL_FPGA\ICE40_MAIN_PROGRAM_100MHZ_pll.v":18:65:18:65|Input LATCHINPUTVALUE on instance ICE40_MAIN_PROGRAM_100MHZ_pll_inst is undriven; assigning to 0.  Simulation mismatch possible. Either assign the input or remove the declaration. 
@W: CG781 :"C:\Users\Michal\Documents\GitHub\CONTROL_FPGA\ICE40_MAIN_PROGRAM_100MHZ_pll.v":20:53:20:53|Input SDI on instance ICE40_MAIN_PROGRAM_100MHZ_pll_inst is undriven; assigning to 0.  Simulation mismatch possible. Either assign the input or remove the declaration. 
@W: CG781 :"C:\Users\Michal\Documents\GitHub\CONTROL_FPGA\ICE40_MAIN_PROGRAM_100MHZ_pll.v":22:54:22:54|Input SCLK on instance ICE40_MAIN_PROGRAM_100MHZ_pll_inst is undriven; assigning to 0.  Simulation mismatch possible. Either assign the input or remove the declaration. 

